(92, 129)
(7, 127)
(89, 39)
(175, 166)
(75, 172)
(23, 85)
(151, 183)
(13, 10)
(127, 183)
(183, 183)
(8, 15)
(22, 44)
(146, 12)
(6, 93)
(84, 12)
(164, 107)
(23, 57)
(36, 161)
(83, 130)
(69, 90)
(46, 27)
(9, 198)
(67, 156)
(87, 156)
(178, 199)
(96, 115)
(120, 109)
(105, 168)
(104, 131)
(64, 195)
(48, 87)
(151, 136)
(168, 60)
(146, 114)
(118, 102)
(98, 136)
(190, 22)
(52, 32)
(80, 48)
(91, 108)
(101, 14)
(35, 135)
(156, 103)
(172, 52)
(102, 96)
(182, 163)
(146, 169)
(46, 2)
(140, 197)
(41, 106)
(55, 6)
(46, 129)
(94, 11)
(9, 92)
(70, 7)
(119, 172)
(60, 62)
(123, 133)
(110, 45)
(62, 71)
(3, 40)
(121, 159)
(19, 193)
(72, 180)
(40, 54)
(195, 5)
(87, 59)
(21, 186)
(55, 29)
(29, 9)
(177, 129)
(19, 118)
(134, 186)
(139, 134)
(1, 95)
(186, 33)
(102, 22)
(195, 89)
(144, 148)
(96, 187)
(132, 95)
(29, 40)
(187, 85)
(94, 91)
(37, 126)
(167, 125)
(195, 187)
(37, 176)
(62, 130)
(121, 75)
(99, 14)
(63, 102)
(92, 15)
(4, 150)
(120, 155)
(123, 56)
(15, 22)
(2, 9)
(157, 192)
(51, 152)
(175, 176)
(85, 139)
(40, 83)
(192, 97)
(192, 21)
(183, 37)
(20, 68)
(120, 99)
(61, 82)
(116, 41)
(167, 45)
(33, 16)
(77, 85)
(194, 190)
(30, 63)
(1, 143)
(69, 86)
(8, 92)
(15, 68)
(47, 193)
(158, 22)
(168, 35)
(32, 59)
(166, 173)
(71, 128)
(150, 187)
(12, 145)
(26, 172)
(153, 130)
(112, 134)
(46, 139)
(100, 95)
(183, 178)
(195, 181)
(128, 28)
(174, 83)
(154, 134)
(51, 167)
(162, 70)
(18, 128)
(104, 56)
(70, 97)
(30, 195)
(24, 74)
(82, 108)
